ROI,ID,subROI,ROI_x1,ROI_y1,ROI_x2,ROI_y2,Angle,Analysis Method,Lower Threshold,Maximum,Centre,Upper Threshold,image path
0,2,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,190,204,209.0,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
0,2,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,210,209.5,227,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
0,2,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,188,214,206.0,224,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
0,2,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,180,196,200.5,221,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-002026.png
0,3,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,219,214.5,227,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,3,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,184,204,197.375,209,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,3,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,208,230,222.5,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,3,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,224,217.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,3,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,198,220,215.0,232,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,3,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,214,214.5,230,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,3,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,205,209.5,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,3,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,204,209.5,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,3,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,189,211,206.5,224,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,3,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,179,197,200.0,221,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-003036.png
0,4,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,203,219,214.52173913043478,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,4,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,188,204,199.08695652173913,212,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,4,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,208,230,222.6206896551724,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,4,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,224,217.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,4,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,198,218,215.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,4,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,216,214.5,230,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,4,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,204,209.5,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,4,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,210,210.0,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,4,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,189,212,207.0,225,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,4,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,180,195,200.5,221,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-004046.png
0,5,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,219,214.53846153846155,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,5,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,188,202,198.5,209,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,5,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,208,230,222.5,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,5,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,218,217.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,5,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,198,219,215.0,232,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,5,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,213,215.46875,231,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,5,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,206,209.5,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,5,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,210,210.0,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,5,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,190,213,207.0,224,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,5,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,180,197,201.0,222,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-005057.png
0,6,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,218,213.95652173913044,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,6,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,184,203,198.42307692307693,212,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,6,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,208,231,223.2962962962963,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,6,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,223,217.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,6,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,198,217,215.0,232,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,6,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,214,214.5,230,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,6,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,208,210.0,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,6,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,217,210.0,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,6,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,190,212,207.5,225,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,6,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,181,196,201.5,222,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-010108.png
0,7,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,203,218,214.0,225,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,7,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,184,202,198.42307692307693,212,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,7,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,208,230,222.5,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,7,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,224,217.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,7,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,198,215,215.0,232,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,7,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,215,215.0,231,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,7,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,204,210.0,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,7,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,216,209.5,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,7,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,189,208,207.44444444444446,225,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,7,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,181,197,201.0,221,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-011118.png
0,8,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,203,219,214.5,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,8,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,184,201,202.15625,246,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,8,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,208,230,222.5,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,8,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,223,217.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,8,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,198,220,215.5,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,8,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,214,215.0,231,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,8,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,205,210.0,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,8,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,208,210.0,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,8,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,212,208.0,225,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,8,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,181,197,201.0,221,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-012129.png
0,9,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,203,219,214.47826086956522,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,9,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,184,204,206.7941176470588,246,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,9,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,209,231,223.46428571428572,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,9,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,203,218,218.0,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,9,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,219,215.5,232,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,9,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,200,213,215.5,231,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,9,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,209,210.0,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,9,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,216,210.0,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,9,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,212,209.0,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,9,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,181,197,201.5,222,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-013140.png
0,10,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,219,214.0,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,10,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,183,204,207.4102564102564,246,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,10,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,208,230,222.6551724137931,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,10,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,203,218,218.0,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,10,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,219,215.5,232,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,10,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,200,214,215.5,231,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,10,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,204,210.5,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,10,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,193,205,210.5,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,10,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,213,208.0,225,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,10,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,180,196,201.47619047619048,222,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-014150.png
0,11,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,219,213.95833333333334,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,11,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,184,203,204.15151515151516,245,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,11,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,208,231,223.42857142857142,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,11,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,203,222,218.0,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,11,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,198,219,215.0,232,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,11,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,200,214,215.5,231,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,11,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,204,211.0,230,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,11,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,205,210.0,228,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,11,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,212,208.0,225,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,11,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,180,197,201.47619047619048,222,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-015200.png
0,12,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,219,214.48,227,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,12,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,184,202,208.5,246,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,12,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,210,230,223.5,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,12,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,202,224,218.0,234,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,12,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,219,216.0,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,12,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,201,214,216.0,231,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,12,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,208,210.5,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,12,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,210,210.5,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,12,8,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,191,212,208.5,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,12,9,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,181,196,201.5,222,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-020210.png
0,13,0,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,203,218,214.47826086956522,226,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-021220.png
0,13,1,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,184,201,208.3939393939394,245,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-021220.png
0,13,2,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,211,231,224.44,237,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-021220.png
0,13,3,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,203,224,218.0,233,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-021220.png
0,13,4,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,199,219,215.5,232,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-021220.png
0,13,5,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,200,214,216.0,232,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-021220.png
0,13,6,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,203,210.5,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-021220.png
0,13,7,494.36186540732,549.3181818181815,814.1540731995276,958.8766233766232,0.0,Centre of peak,192,217,210.5,229,/Volumes/krauss/Callum/p and g/Libra_Data/20230810-000004/20230810-021220.png
